village,taluk,district,lat,lon,coconut_acres
Kumbaraghatta,Arsikere,Hassan,13.522309,76.372111,234.75
Kunaghattahalli,Arsikere,Hassan,13.262806,76.286352,113.05
Kuradahalli,Arsikere,Hassan,13.288708,76.15371,135.3
Kurubarahalli,Arsikere,Hassan,13.289336,76.142134,565.22
Kuruvanka,Arsikere,Hassan,13.405819,76.225458,557.17
Kyatanahalli,Arsikere,Hassan,13.447383,76.319553,286.95
L Honnenahalli,Arsikere,Hassan,13.130221,76.335731,50.42
Lalanakere,Arsikere,Hassan,13.126425,76.317914,296.57
Layalapura,Arsikere,Hassan,13.345832,76.207814,58.65
Linglapura,Arsikere,Hassan,13.299875,76.093664,75.92
Madalu,Arsikere,Hassan,13.479103,76.359933,657.15
Madanahalli,Arsikere,Hassan,13.316011,76.140871,368.77
Madapura,Arsikere,Hassan,13.25882,76.173228,26.95
Maddarahalli,Arsikere,Hassan,13.499147,76.390404,267.17
Magenahalli,Arsikere,Hassan,13.495133,76.306778,225.45
Mailanahalli,Arsikere,Hassan,13.233184,76.24795,171.33
Maladevihalli,Arsikere,Hassan,13.225623,76.207492,315.57
Mallapura,Arsikere,Hassan,13.169266,76.38726,591.22
Mallenahalli,Arsikere,Hassan,13.385045,76.386363,318.12
Mangalapura,Arsikere,Hassan,13.152687,76.365542,112.03
Manmakanahalli,Arsikere,Hassan,13.249348,76.205243,67.73
Maragondanahalli,Arsikere,Hassan,13.375901,76.108709,146.83
Marashettihalli,Arsikere,Hassan,13.177457,76.35564,182.15
Maratagere,Arsikere,Hassan,13.423841,76.239354,242.77
Matada Hosahalli,Arsikere,Hassan,13.299415,76.160275,139.92
Mavutanahalli,Arsikere,Hassan,13.315051,76.122796,346.12
Melenahalli,Arsikere,Hassan,13.41435,76.381947,1.25
Melina Hosahalli,Arsikere,Hassan,13.36754,76.096351,149.62
Mosale,Arsikere,Hassan,13.32208,76.095703,486.05
Mudanahalli,Arsikere,Hassan,13.302276,76.242807,327.85
Muddanahalli,Arsikere,Hassan,13.302276,76.242807,111.6
Muddaranganahalli,Arsikere,Hassan,13.290794,76.237163,68.48
Mududi,Arsikere,Hassan,13.201578,76.278183,640.5
Murundi,Arsikere,Hassan,13.295561,76.225088,215.28
N Hosahalli,Arsikere,Hassan,13.149519,76.172663,73.15
Nagarahalli,Arsikere,Hassan,13.125026,76.287155,87.83
Nagasamudra,Arsikere,Hassan,13.450088,76.233031,333.45
Nagavedi,Arsikere,Hassan,13.415213,76.309204,431.18
Nagenahalli,Arsikere,Hassan,13.224991,76.18914,141.17
Narammanahalli,Arsikere,Hassan,13.190094,76.383708,115.47
Narayanaghattahalli,Arsikere,Hassan,13.284473,76.271541,51.45
Neelagirikavalu,Arsikere,Hassan,13.291928,76.110585,505.3
Neeragunda,Arsikere,Hassan,13.142146,76.1818,247.4
Nerlige,Arsikere,Hassan,13.352086,76.061076,553.25
Paduvanahalli,Arsikere,Hassan,13.370108,76.3516,190.3
Pannasamudra,Arsikere,Hassan,13.28216,76.31196,305.92
Pura,Arsikere,Hassan,13.451194,76.213015,218.5
Ramenahalli,Arsikere,Hassan,13.382312,76.33485,238.62
Rampura,Arsikere,Hassan,13.383431,76.168453,451.57
Rangapura,Arsikere,Hassan,13.183472,76.166291,210.13
Rangapura Kavalu,Arsikere,Hassan,13.170818,76.266195,55.3
Rangapura Kavalu 2,Arsikere,Hassan,13.170818,76.266195,336.1
Rangapurakavalu 1,Arsikere,Hassan,13.170818,76.266195,91.13
Rangenahalli,Arsikere,Hassan,13.209528,76.176791,19.1
Ranjihalli,Arsikere,Hassan,13.15856,76.192019,83.6
S Diggenahalli,Arsikere,Hassan,13.362735,76.073109,233.6
S Kallahalli,Arsikere,Hassan,13.373873,76.051896,257.9
S Kasuvanahalli,Arsikere,Hassan,13.515596,76.29522,238.4
S Makanahalli,Arsikere,Hassan,13.233184,76.24795,35.45
Saluparahalli,Arsikere,Hassan,13.265781,76.346844,109.73
Sankalapura,Arsikere,Hassan,13.218158,76.33214,230.87
Sankodanahalli,Arsikere,Hassan,13.314475,76.209345,259.97
Sanneenahalli,Arsikere,Hassan,13.220629,76.370921,194.35
Satanagere,Arsikere,Hassan,13.482377,76.309487,345.77
Savantanahalli,Arsikere,Hassan,13.3588,76.089287,248.88
Shankaranahalli,Arsikere,Hassan,13.520548,76.407098,1095.67
Shankaranahalli Ga,Arsikere,Hassan,13.520548,76.407098,113.48
Shantanahalli,Arsikere,Hassan,13.370471,76.234005,296.13
Shashivala,Arsikere,Hassan,13.448355,76.401375,653.97
Shivapura,Arsikere,Hassan,13.228029,76.365393,76.67
Singanahalli,Arsikere,Hassan,13.304499,76.147894,229.58
Singanakere,Arsikere,Hassan,13.327755,76.31967,59.37
Singatagere,Arsikere,Hassan,13.247757,76.143462,136.52
Singenahalli,Arsikere,Hassan,13.147273,76.283982,159.8
Somashettihalli,Arsikere,Hassan,13.492278,76.288838,540.97
Somenahalli,Arsikere,Hassan,13.339131,76.326235,263.58
Sompura,Arsikere,Hassan,13.372245,76.065839,116.95
Soppinahalli,Arsikere,Hassan,13.462874,76.328755,521.27
Sulekere,Arsikere,Hassan,13.305402,76.305369,510.6
Sunkadahalli,Arsikere,Hassan,13.397054,76.209282,67.43
T Kodihalli,Arsikere,Hassan,13.246013,76.279316,307.65
Talaluru,Arsikere,Hassan,13.264753,76.269093,559.77
Tavarehalli,Arsikere,Hassan,13.385336,76.113005,133.7
Timmanahalli,Arsikere,Hassan,13.334728,76.055775,191.15
Tippanahalli,Arsikere,Hassan,13.464528,76.171336,89.93
Tirupati,Arsikere,Hassan,13.328782,76.27126,91.55
Tirupatihalli,Arsikere,Hassan,13.306116,76.126231,199.17
Tondiganahalli,Arsikere,Hassan,13.456297,76.172481,71.65
Tudikenahalli,Arsikere,Hassan,13.395188,76.365416,103.63
U Chikkalinganahalli,Arsikere,Hassan,13.246379,76.134787,83.68
Ugranahalli,Arsikere,Hassan,13.169933,76.344629,100.35
Undiganalu,Arsikere,Hassan,13.259581,76.133576,594.95
Uppara Kalenahalli,Arsikere,Hassan,13.318553,76.156437,101.87
Uppinahalli,Arsikere,Hassan,13.427706,76.15135,74.43
Vadagarahalli,Arsikere,Hassan,13.121679,76.33904,85.22
Vaderahalli,Arsikere,Hassan,13.247495,76.174496,96.7
Valehalli,Arsikere,Hassan,13.445671,76.254695,175.58
Vitalapura,Arsikere,Hassan,13.254974,76.251831,118.05
Vrundavanahalli,Arsikere,Hassan,13.230338,76.158638,116.62
Yachagodanahalli,Arsikere,Hassan,13.491399,76.344038,174.57
Yadapura,Arsikere,Hassan,13.303122,76.216599,147.55
Yaduvanahalli,Arsikere,Hassan,13.219425,76.35323,269.3
Yalavare,Arsikere,Hassan,13.267497,76.232173,527.97
Yarehalli,Arsikere,Hassan,13.423834,76.203976,623.8
A Belaguli,Chanrayapatna,Hassan,13.049908,76.479623,638.83
A Cholenahalli,Chanrayapatna,Hassan,12.86024,76.387938,98.68
A Kalenahalli,Chanrayapatna,Hassan,12.853583,76.340773,208.97
Adaguru,Chanrayapatna,Hassan,12.868381,76.390408,2.48
Adihalli,Chanrayapatna,Hassan,13.11237,76.427561,261.8
Agasarahalli,Chanrayapatna,Hassan,13.064957,76.35594,195.62
Agrahara,Chanrayapatna,Hassan,13.053937,76.368027,882.38
Akkanahalli,Chanrayapatna,Hassan,13.003648,76.519909,367.2
Aladahalli,Chanrayapatna,Hassan,12.80972,76.472967,168.77
Alagodanahalli,Chanrayapatna,Hassan,12.930845,76.353549,173.87
Ammanahalli,Chanrayapatna,Hassan,13.052276,76.601625,138.03
Anati,Chanrayapatna,Hassan,13.130855,76.428665,992.05
Anekere,Chanrayapatna,Hassan,12.916413,76.343272,716.2
Ankanahalli,Chanrayapatna,Hassan,12.888721,76.579351,66.7
Ankenahalli,Chanrayapatna,Hassan,13.049062,76.337432,85.13
Annenahalli,Chanrayapatna,Hassan,12.989454,76.312421,250.15
Antanahalli,Chanrayapatna,Hassan,12.926702,76.459007,280.5
Appenahalli,Chanrayapatna,Hassan,13.078557,76.437511,339.47
Arakere,Chanrayapatna,Hassan,12.936861,76.571213,128.88
Aralabaraguru,Chanrayapatna,Hassan,12.947697,76.339367,144.9
Aralapura,Chanrayapatna,Hassan,12.917019,76.421088,157.0
Aruvanahalli,Chanrayapatna,Hassan,12.834051,76.510504,606.77
Avareninganakoppalu,Chanrayapatna,Hassan,12.976774,76.278753,39.73
Avverahalli,Chanrayapatna,Hassan,13.005836,76.447144,110.58
Ayarahalli,Chanrayapatna,Hassan,12.912267,76.589589,387.6
